Player,Position,Age,Team,Games,Games_Started,Minutes,PTS,TRB,AST,STL,BLK,TOV,FG_Pct,ThreeP_Pct,FT_Pct,PER,TS_Pct,WS,WS_per_48,BPM,OBPM,DBPM,VORP,USG_Pct,Salary,Salary_Cap_Pct,Instagram,Twitter,TikTok,Total_Followers,Jersey_Rank,Rating_Boost,Commercial_Index,Total_Minutes,WAR,Performance_Value,Commercial_Value,Total_Value,Value_per_Dollar,Efficiency
Caitlin Clark,G,22,IND,40,40,35.4,19.2,5.7,8.4,1.3,0.7,5.6,0.418,0.345,0.91,15.5,0.545,3.2,0.108,3.5,4.2,-0.7,2.5,28.5,76535,5.415263351541053,5200000.0,1500000.0,2000000.0,8700000.0,1.0,3.0,0.8935,1416.0,4.05625,1216875.0,4467500.0,3167250.0,41.38302737309728,33.1
Aliyah Boston,F,22,IND,40,40,32.5,14.0,8.9,2.5,1.0,1.5,2.2,0.485,0.28,0.788,18.5,0.568,4.5,0.166,2.8,2.2,0.6,2.2,22.5,76535,5.415263351541053,450000.0,150000.0,100000.0,700000.0,8.0,1.3,0.64,1300.0,3.25,975000.0,3200000.0,2310000.0,30.18226954987914,28.349999999999998
Kelsey Mitchell,G,28,IND,36,36,28.8,15.8,2.5,3.2,0.8,0.2,2.0,0.425,0.378,0.885,14.0,0.552,2.5,0.116,1.2,1.8,-0.6,0.8,20.8,198388,14.037019217162424,85000.0,25000.0,15000.0,125000.0,45.0,1.0,0.4563,1036.8,1.7280000000000002,518400.00000000006,2281500.0,1576260.0,7.945339435852975,22.1
NaLyssa Smith,F,24,IND,40,40,27.2,10.5,7.8,1.5,0.8,0.8,1.5,0.445,0.325,0.755,12.5,0.525,2.0,0.088,0.5,0.8,-0.3,0.5,15.5,72141,5.10436419211502,120000.0,35000.0,50000.0,205000.0,35.0,1.0,0.4985,1088.0,1.4166666666666667,425000.0,2492500.0,1665500.0,23.08673292579809,21.500000000000004
Lexie Hull,G,25,IND,40,20,22.5,7.2,2.2,2.0,0.6,0.2,1.2,0.405,0.352,0.825,10.2,0.502,1.2,0.064,-0.8,0.2,-1.0,0.0,12.2,64154,4.539240936235248,45000.0,12000.0,8000.0,65000.0,60.0,1.0,0.395,900.0,0.5625,168750.0,1975000.0,1252500.0,19.523334476416125,12.2
Erica Wheeler,G,32,IND,32,10,18.5,8.5,2.0,3.5,0.8,0.1,1.5,0.42,0.368,0.85,11.5,0.535,1.0,0.081,0.2,1.0,-0.8,0.1,15.8,178308,12.616251096708458,75000.0,20000.0,10000.0,105000.0,55.0,1.0,0.4219,592.0,0.6783333333333333,203500.0,2109500.0,1347100.0,7.554904995849878,15.3
Temi Fagbenle,C,29,IND,38,25,20.2,8.8,5.5,1.8,0.5,1.0,1.5,0.51,0.22,0.72,14.8,0.575,1.8,0.112,1.5,1.2,0.3,0.8,14.5,150000,10.613307672713894,35000.0,12000.0,8000.0,55000.0,70.0,1.0,0.3609,767.6,1.3992708333333332,419781.25,1804500.0,1250612.5,8.337416666666666,17.75
Katie Lou Samuelson,F,27,IND,30,5,15.5,5.2,2.8,1.2,0.4,0.3,0.8,0.38,0.358,0.865,9.5,0.485,0.5,0.052,-1.5,-0.5,-1.0,-0.2,10.5,100000,7.075538448475929,25000.0,8000.0,5000.0,38000.0,80.0,1.0,0.3217,465.0,0.12109375,36328.125,1608500.0,979631.25,9.7963125,10.0
Kristy Wallace,G,28,IND,28,2,12.8,4.5,1.5,1.8,0.5,0.1,0.8,0.4,0.365,0.78,8.5,0.495,0.4,0.054,-1.8,-0.8,-1.0,-0.2,12.5,68000,4.811366144963632,15000.0,5000.0,3000.0,23000.0,90.0,1.0,0.2792,358.40000000000003,0.03733333333333333,11199.999999999998,1396000.0,842080.0,12.383529411764705,8.7
Grace Berger,G,23,IND,20,5,10.5,3.8,1.8,2.2,0.3,0.2,1.0,0.42,0.32,0.75,9.2,0.505,0.3,0.069,-0.5,0.2,-0.7,0.0,14.2,64154,4.539240936235248,45000.0,15000.0,20000.0,80000.0,65.0,1.0,0.3852,210.0,0.1640625,49218.75,1926000.0,1175287.5,18.319785204352026,8.4
